
( 0.000000 ) 	 [9]

( 39.013081 ) 	 [25]

( 39.013081 ) 	 [41]

( 39.013081 ) 	 [57]

( 39.013088 ) 	 [73]

( 39.013088 ) 	 [89]

( 39.013081 ) 	 [105]

( 39.013081 ) 	 [121]

( 39.013088 ) 	 [137]

( 39.013081 ) 	 [153]

( 39.013103 ) 	 [169]

( 39.013737 ) 	 [185]

( 39.013748 ) 	 [201]

( 39.013737 ) 	 [217]

( 39.013737 ) 	 [233]

( 39.013737 ) 	 [249]

( 39.013737 ) 	 [265]

( 39.013737 ) 	 [281]

( 39.013737 ) 	 [297]

( 39.013756 ) 	 [313]

( 39.014389 ) 	 [329]

( 39.014404 ) 	 [345]

( 39.014393 ) 	 [361]

( 39.014393 ) 	 [377]

( 39.014393 ) 	 [393]

( 39.014397 ) 	 [409]

( 39.014393 ) 	 [425]

( 39.014397 ) 	 [441]

( 39.014393 ) 	 [457]

( 39.014393 ) 	 [473]

( 39.014397 ) 	 [489]

( 39.014412 ) 	 [505]

( 39.015045 ) 	 [521]

( 39.015057 ) 	 [537]

( 39.015064 ) 	 [553]

( 39.015045 ) 	 [569]

( 39.015045 ) 	 [585]

( 39.015045 ) 	 [601]

( 39.015045 ) 	 [617]

( 39.015045 ) 	 [633]

( 39.015045 ) 	 [649]

( 40.015549 ) 	 [665]

Latitud [-31.2646198 ]

( 40.015549 ) 	 [681]

( 40.015549 ) 	 [697]

( 40.015549 ) 	 [713]

( 40.015549 ) 	 [729]

( 39.015701 ) 	 [745]

( 39.015717 ) 	 [761]

( 39.015701 ) 	 [777]

( 39.015701 ) 	 [793]

( 39.015701 ) 	 [809]

( 39.015705 ) 	 [825]

( 39.015705 ) 	 [841]

( 39.015701 ) 	 [857]

( 39.015701 ) 	 [873]

( 39.015705 ) 	 [889]

( 39.015701 ) 	 [905]

( 39.015724 ) 	 [921]

( 39.016354 ) 	 [937]

( 39.016369 ) 	 [953]

( 39.016376 ) 	 [969]

( 39.016357 ) 	 [985]

( 39.016357 ) 	 [1001]

( 39.016357 ) 	 [1017]

( 39.016357 ) 	 [1033]

( 39.016357 ) 	 [1049]

( 39.016357 ) 	 [1065]

( 39.017010 ) 	 [1081]

( 39.017025 ) 	 [1097]

( 39.017014 ) 	 [1113]

( 39.017014 ) 	 [1129]

( 39.017014 ) 	 [1145]

( 39.017017 ) 	 [1161]

( 39.017014 ) 	 [1177]

( 39.017014 ) 	 [1193]

( 39.017017 ) 	 [1209]

( 39.017017 ) 	 [1225]

( 39.017014 ) 	 [1241]

( 39.017033 ) 	 [1257]

( 39.017666 ) 	 [1273]

( 39.017677 ) 	 [1289]

( 39.017685 ) 	 [1305]

( 39.017666 ) 	 [1321]

( 39.017666 ) 	 [1337]

( 39.017666 ) 	 [1353]

( 39.017666 ) 	 [1369]

( 39.017666 ) 	 [1385]

